entity,soc
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderLoadDetails.vue,560
src/modules/orders/mocks/marketplaceService.mocks.ts,560
src/modules/bids/app/accept-now/AcceptNow.vue,560
src/modules/tender/components/tender-details/tender-content/TenderMap.vue,559
src/modules/bids/app/cancel-bid-dialog/CancelBidDialog.vue,559
src/modules/bids/app/bid-details/OrderBid.vue,558
src/modules/bids-deprecated/app/bidding-block/BiddingBlock.spec.ts,557
src/store/mutations.ts,556
src/modules/bids/events/index.ts,556
src/modules/bids/app/bidding-block-actions/BiddingBlockActions.vue,554
src/modules/bids/composition/useAvailableBidActions.ts,553
src/common/segmentEvents.ts,552
src/modules/tender/components/tender-list/TenderTableTitle.vue,550
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderVehicles.vue,550
src/modules/tender/components/tender-details/tender-content/tender-load-details/HeaderSlot.vue,550
src/modules/tender/components/tender-details/tender-content/TenderRoute.vue,550
src/modules/tender/components/tender-details/Loader.vue,550
src/modules/bids/services/BiddingSpotOrderService.ts,550
src/modules/bids-deprecated/services/BiddingOrderService.ts,549
src/modules/marketplace/segmentEvents.ts,548
src/modules/tender/types/serviceTypes.ts,547
src/modules/bids-deprecated/models/BidActions.ts,547
src/modules/next-load-suggestions/app/order-next-suggestions/__tests__/NextLoadSuggestions.spec.ts,546
src/common/testing/test-helpers.ts,542
src/modules/bids/events/mocks/index.ts,540
src/modules/bids/events/mocks/BidRepository.ts,540
src/modules/bids/events/BidRepository.ts,540
sndt.json,540
src/modules/orders/components/order-details/order-header/Tooltip.vue,539
src/modules/orders/components/order-details/order-header/LoadBundlesTabs.vue,539
src/modules/tender/services/BiddingTenderService.spec.ts,538
src/modules/orders/components/order-details/order-header/OrderDetailsPagination.vue,538
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/bid-status/BiddingStatus.spec.ts,537
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/BiddingStatuses.spec.ts,537
src/modules/bids-deprecated/app/bidding-block/bid-form/useBidForm.spec.ts,537
src/modules/bids-deprecated/app/bidding-block/awaiting-matching-confirmation-state/AwaitingMatchingConfirmationState.spec.ts,537
src/modules/bids-deprecated/app/bidding-block/accepted-state/AcceptedState.spec.ts,537
src/modules/bids-deprecated/app/bidding-block-actions/BiddingBlockActions.spec.ts,537
src/modules/bids-deprecated/app/bid-table-cell/status/OrderListBidStatus.spec.ts,537
src/modules/bids/base/helpers.spec.ts,536
src/tracking/helpers.ts,532
src/modules/bids/widgets/AcceptNowConfirmDialog.vue,532
src/modules/bids-deprecated/events/BidEventConsumer.ts,532
src/modules/orders/components/order-details/order-next-suggestions/__tests__/NextLoadSuggestions.spec.ts,528
src/modules/tender/classes/tender-details/ContractInfo.ts,523
src/modules/bids/app/floating-block/OrderDetailsFloatingBlock.vue,523
src/modules/bids/app/bid-input/BidInputWithCondition.vue,523
src/modules/bids/app/OrderBidBlock.spec.ts,523
src/common/http/http-client.ts,523
src/modules/bids/featureFlags.ts,522
src/modules/bids/services/BiddingSpotOrderService.spec.ts,521
src/modules/bids-deprecated/models/mocks/BidActions.ts,521
